,parent,child,lambda_val,child_size
1865,5820,2062,0.06507654457349828,1
1866,5820,2500,0.06507654457349828,1
1867,5820,1712,0.06508263764088412,1
1868,5820,3229,0.06511239883360079,1
1869,5820,2691,0.06511239883360079,1
1870,5820,3034,0.06512139590640208,1
1871,5820,3724,0.06512265039067708,1
1872,5820,1104,0.06512265039067708,1
1873,5820,1349,0.06512265039067708,1
1874,5820,3400,0.06512265039067708,1
1875,5820,1254,0.06512296728367478,1
1876,5820,1540,0.0651298001398712,1
1877,5820,2812,0.06515650192438652,1
1878,5820,3199,0.06515650192438652,1
1879,5820,3185,0.0651667242486534,1
1880,5820,1443,0.06517708397473143,1
1881,5820,3829,0.06521661454925966,1
1882,5820,3503,0.06523752649231347,1
1883,5820,1250,0.06524737226092142,1
1884,5820,2738,0.06530032729924463,1
1885,5820,2876,0.06531105096402012,1
1886,5820,1015,0.06531255772415263,1
1887,5820,1045,0.06531255772415263,1
1888,5820,3369,0.06531812943032729,1
1889,5820,1417,0.06531812943032729,1
1890,5820,1062,0.06531812943032729,1
1891,5820,1738,0.06532937378497222,1
1892,5820,3125,0.06534288709131507,1
1893,5820,3667,0.06534559810177548,1
1894,5820,1141,0.06534559810177548,1
1895,5820,1345,0.06534559810177548,1
1896,5820,3330,0.06534559810177548,1
1897,5820,3509,0.06534559810177548,1
1898,5820,3453,0.06534559810177548,1
1899,5820,1689,0.06538751747145516,1
1900,5820,1168,0.0654011607780209,1
1901,5820,3471,0.0654011607780209,1
1902,5820,2446,0.0654216156732136,1
1903,5820,3834,0.0654216156732136,1
1904,5820,3015,0.0654216156732136,1
1905,5820,3250,0.0654216156732136,1
1906,5820,3283,0.0654216156732136,1
1907,5820,2249,0.06542262889117123,1
1908,5820,3131,0.06545662567994107,1
1909,5820,1080,0.06545663492612412,1
1910,5820,2256,0.06546889718909861,1
1911,5820,2365,0.06547530838141585,1
1912,5820,2413,0.06549016804518963,1
1913,5820,2326,0.06551053084321723,1
1914,5820,2549,0.06551053084321723,1
1915,5820,2173,0.06551234663337696,1
1916,5820,2909,0.06551311871633389,1
1917,5820,1860,0.06552197008747206,1
1918,5820,2593,0.06555973881991731,1
1919,5820,2786,0.06555973881991731,1
1920,5820,878,0.0655604839610085,1
1921,5820,4879,0.0655604839610085,1
1922,5820,3990,0.0655604839610085,1
1923,5820,3030,0.06556576152015163,1
1924,5820,2719,0.06556576152015163,1
1925,5820,2817,0.06556576152015163,1
1926,5820,3358,0.06558241190491923,1
1927,5820,1905,0.06559636974730805,1
1928,5820,2522,0.06559636974730805,1
1929,5820,2219,0.06559636974730805,1
1930,5820,2325,0.06559636974730805,1
1931,5820,2342,0.06559636974730805,1
1932,5820,2462,0.06559968285158012,1
1933,5820,2440,0.06560863882941755,1
1934,5820,1964,0.06564330339351195,1
1935,5820,2414,0.06569763224686223,1
1936,5820,2727,0.06573285513703585,1
1937,5820,2822,0.06573387783523575,1
1938,5820,2725,0.06573387783523575,1
1939,5820,3111,0.06573387783523575,1
1940,5820,2640,0.06573387783523575,1
1941,5820,2680,0.06573387783523575,1
1942,5820,2766,0.06573387783523575,1
1943,5820,2622,0.06573387783523575,1
1944,5820,2591,0.06573387783523575,1
1945,5820,3320,0.06573387783523575,1
1946,5820,2794,0.06573387783523575,1
1947,5820,2685,0.06573387783523575,1
1948,5820,3027,0.06573387783523575,1
1949,5820,3146,0.06573387783523575,1
1950,5820,3066,0.06573387783523575,1
1951,5820,2896,0.06573387783523575,1
1952,5820,3798,0.0657484095661925,1
1953,5820,1121,0.0657558800659591,1
1954,5820,526,0.0657558800659591,1
1955,5820,4369,0.0657558800659591,1
1956,5820,4930,0.0657558800659591,1
1957,5820,2336,0.06578761816793764,1
1958,5820,3450,0.0658054273376306,1
1959,5820,1854,0.06582990565827691,1
1960,5820,1194,0.06582990565827691,1
1961,5820,2238,0.06584129612788821,1
1962,5820,1525,0.06584863673098872,1
1963,5820,1048,0.06586768774622077,1
1964,5820,1149,0.06587270862603656,1
1965,5820,1916,0.06587270862603656,1
1966,5820,3670,0.06587585567759541,1
1967,5820,3048,0.06589484688039157,1
1968,5820,1146,0.06593797953576518,1
1969,5820,2015,0.06596996416899403,1
1970,5820,2854,0.06596996416899403,1
1971,5820,3779,0.06597463801681398,1
1972,5820,1827,0.06597463801681398,1
1973,5820,1790,0.06598245348425946,1
1974,5820,1106,0.06598245348425946,1
1975,5820,1447,0.06598245348425946,1
1976,5820,954,0.06598414973726667,1
1977,5820,2798,0.06598839236739514,1
1978,5820,1420,0.06599074611807274,1
1979,5820,996,0.06599195519701512,1
1980,5820,122,0.06601675643631073,1
1981,5820,3819,0.06603759193160949,1
1982,5820,2919,0.06603759193160949,1
1983,5820,1941,0.06603933138831387,1
1984,5820,2768,0.06604170162262049,1
1985,5820,2605,0.06604319090472,1
1986,5820,3249,0.06605023367065173,1
1987,5820,1807,0.06606714077608483,1
1988,5820,2678,0.06606714077608483,1
1989,5820,1684,0.06606714077608483,1
1990,5820,2187,0.06606714077608483,1
1991,5820,2281,0.06606714077608483,1
1992,5820,1686,0.0660921389901419,1
1993,5820,3590,0.06609455198824936,1
1994,5820,3054,0.06609995417153923,1
1995,5820,991,0.06610060240781533,1
1996,5820,2258,0.06611574683699871,1
1997,5820,1313,0.06612739595945832,1
1998,5820,3309,0.06613214138303498,1
1999,5820,2764,0.06613214138303498,1
2000,5820,2877,0.06613225008826001,1
2001,5820,3604,0.06615377670729115,1
2002,5820,5088,0.06617196590991187,1
2003,5820,3273,0.06619984913514458,1
2004,5820,2201,0.06623996747519215,1
2005,5820,1100,0.06624663679697004,1
